chr	TSS	Strand	Gene_symbol
chr19	58864865	-	A1BG
chr19	58863335	+	A1BG-AS1
chr10	52645435	-	A1CF
chr12	9268558	-	A2M
chr12	9217772	+	A2M-AS1
chr12	8975149	+	A2ML1
chr12	9386803	-	A2MP1
chr1	33786699	-	A3GALT2
chr22	43116876	-	A4GALT
chr3	137851229	-	A4GNT
chr17	31860779	-	AA06
chr12	53715412	-	AAAS
chr12	125549924	+	AACS
chr5	178203277	-	AACSP1
chr3	151531860	+	AADAC
chr3	151451703	+	AADACL2
chr3	151645963	-	AADACL2-AS1
chr1	12776117	+	AADACL3
chr1	12704565	+	AADACL4
chr3	151488243	+	AADACP1
chr4	171011538	-	AADAT
chr9	99417599	-	AAED1
chr15	67547536	-	AAGAB
chr2	69870977	-	AAK1
chr11	77532207	+	AAMDC
chr2	219134893	-	AAMP
chr17	74449432	+	AANAT
chr20	34824338	+	AAR2
chr8	117950463	+	AARD
chr16	70323412	-	AARS
chr6	44281063	-	AARS2
chr17	41116515	-	AARSD1
chr4	57253674	-	AASDH
chr11	105948291	+	AASDHPPT
chr7	121784344	-	AASS
chr17	35306174	+	AATF
chr17	79139872	-	AATK
chr17	79139306	+	AATK-AS1
chr16	8768443	+	ABAT
chr9	107690527	-	ABCA1
chr17	67240956	-	ABCA10
chr4	467998	-	ABCA11P
chr2	216003151	-	ABCA12
chr7	48211056	+	ABCA13
chr16	2390922	+	ABCA17P
chr9	139923374	-	ABCA2
chr16	2390747	-	ABCA3
chr1	94586705	-	ABCA4
chr17	67323323	-	ABCA5
chr17	67138015	-	ABCA6
chr19	1040101	+	ABCA7
chr17	66951533	-	ABCA8
chr17	67057136	-	ABCA9
chr7	87342639	-	ABCB1
chr1	229694442	-	ABCB10
chr2	169887833	-	ABCB11
chr7	87105019	-	ABCB4
chr7	20655244	+	ABCB5
chr2	220083712	-	ABCB6
chrX	74376175	-	ABCB7
chr7	150725508	+	ABCB8
chr12	123451056	-	ABCB9
chr16	16043433	+	ABCC1
chr6	43395291	+	ABCC10
chr16	48269088	-	ABCC11
chr16	48180681	-	ABCC12
chr21	15646119	+	ABCC13
chr10	101542354	+	ABCC2
chr17	48712217	+	ABCC3
chr13	95953700	-	ABCC4
chr3	183735727	-	ABCC5
chr3	183724125	+	ABCC5-AS1
chr16	16317328	-	ABCC6
chr16	18582569	+	ABCC6P1
chr16	14918559	-	ABCC6P2
chr11	17498392	-	ABCC8
chr12	22089628	-	ABCC9
chrX	152990322	+	ABCD1
chr12	40013843	-	ABCD2
chr1	94883932	+	ABCD3
chr14	74769767	-	ABCD4
chr4	146019155	+	ABCE1
chr6	30539169	+	ABCF1
chr7	150924460	-	ABCF2
chr3	183903862	+	ABCF3
chr21	43619798	+	ABCG1
chr4	89152474	-	ABCG2
chr11	119019749	+	ABCG4
chr2	44065958	-	ABCG5
chr2	44066102	+	ABCG8
chr2	27346656	+	ABHD1
chr3	111697722	+	ABHD10
chr7	73153197	-	ABHD11
chr7	73149398	+	ABHD11-AS1
chr20	25371618	-	ABHD12
chr14	51338877	+	ABHD12B
chr13	108870762	+	ABHD13
chr3	52009041	+	ABHD14A
chr3	52009041	+	ABHD14A-ACY1
chr3	52008646	-	ABHD14B
chr17	27894042	-	ABHD15
chr6	31671137	-	ABHD16A
chr20	62492565	+	ABHD16B
chr19	1885518	-	ABHD17A
